name,genre,year,score,votes,director,star
The Final Option,Action,1982,6.4,3000.0,Ian Sharp,Lewis Collins
Trail of the Pink Panther,Comedy,1982,5.0,9800.0,Blake Edwards,Peter Sellers
The Sender,Drama,1982,6.0,1800.0,Roger Christian,Kathryn Harrold
The Border,Crime,1982,6.4,6100.0,Tony Richardson,Jack Nicholson
Kiss Me Goodbye,Comedy,1982,6.0,1900.0,Robert Mulligan,Sally Field
A Midsummer Night's Sex Comedy,Comedy,1982,6.6,19000.0,Woody Allen,Woody Allen
Vice Squad,Action,1982,6.5,2000.0,Gary Sherman,Season Hubley
Best Friends,Comedy,1982,5.5,2700.0,Norman Jewison,Burt Reynolds
Shoot the Moon,Drama,1982,6.9,2500.0,Alan Parker,Albert Finney
Lookin' to Get Out,Comedy,1982,5.1,684.0,Hal Ashby,Jon Voight
Barbarosa,Western,1982,6.4,1500.0,Fred Schepisi,Willie Nelson
Visiting Hours,Horror,1982,5.7,3800.0,Jean-Claude Lord,Michael Ironside
A Little Sex,Comedy,1982,4.9,501.0,Bruce Paltrow,Tim Matheson
Class Reunion,Comedy,1982,4.7,2000.0,Michael Miller,Gerrit Graham
Hanky Panky,Action,1982,5.6,2400.0,Sidney Poitier,Gene Wilder
Author! Author!,Comedy,1982,6.2,5100.0,Arthur Hiller,Al Pacino
Split Image,Drama,1982,6.5,768.0,Ted Kotcheff,Michael O'Keefe
The Challenge,Action,1982,6.3,2000.0,John Frankenheimer,Scott Glenn
The Soldier,Action,1982,5.3,1100.0,James Glickenhaus,Ken Wahl
Wrong Is Right,Comedy,1982,5.7,1800.0,Richard Brooks,Sean Connery
Six Weeks,Drama,1982,5.7,818.0,Tony Bill,Dudley Moore
The State of Things,Drama,1982,7.0,3000.0,Wim Wenders,Allen Garfield
Jekyll and Hyde... Together Again,Sci-Fi,1982,6.2,1100.0,Jerry Belson,Mark Blankfield
Forced Vengeance,Action,1982,5.6,2900.0,James Fargo,Chuck Norris
The Missionary,Comedy,1982,6.2,2100.0,Richard Loncraine,Michael Palin
The Escape Artist,Comedy,1982,6.2,683.0,Caleb Deschanel,Raul Julia
Night Crossing,Drama,1982,6.5,1300.0,Delbert Mann,John Hurt
Endangered Species,Drama,1982,5.9,914.0,Alan Rudolph,Robert Urich
Things Are Tough All Over,Action,1982,6.0,3100.0,Thomas K. Avildsen,Toni Attell
Homework,Comedy,1982,3.5,322.0,James Beshears,Joan Collins
Jinxed!,Comedy,1982,4.7,984.0,Don Siegel,Bette Midler
The Return of Martin Guerre,Biography,1982,7.4,4100.0,Daniel Vigne,Gérard Depardieu
They Call Me Bruce,Action,1982,5.7,1500.0,Elliott Hong,Johnny Yune
Some Kind of Hero,Comedy,1982,5.8,1400.0,Michael Pressman,Richard Pryor
Hammett,Crime,1982,6.5,3000.0,Wim Wenders,Frederic Forrest
Five Days One Summer,Drama,1982,6.1,1000.0,Fred Zinnemann,Sean Connery
Penitentiary II,Crime,1982,4.4,538.0,Jamaa Fanaka,Leon Isaac Kennedy
If You Could See What I Hear,Biography,1982,6.8,785.0,Eric Till,Marc Singer
Partners,Comedy,1982,5.3,1200.0,James Burrows,Ryan O'Neal
Richard Pryor: Live on the Sunset Strip,Comedy,1982,7.7,3900.0,Joe Layton,Richard Pryor
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,Animation,1982,7.1,1800.0,Directors,Mel Blanc
Monsignor,Crime,1982,5.1,838.0,Frank Perry,Christopher Reeve
"Yes, Giorgio",Comedy,1982,3.9,653.0,Franklin J. Schaffner,Luciano Pavarotti
I Ought to Be in Pictures,Comedy,1982,6.2,895.0,Herbert Ross,Walter Matthau
La traviata,Drama,1982,7.2,1300.0,Franco Zeffirelli,Teresa Stratas
Fighting Back,Action,1982,6.1,460.0,Lewis Teague,Tom Skerritt
Kamikaze 89,Sci-Fi,1982,5.8,665.0,Wolf Gremm,Rainer Werner Fassbinder
The Wizard of Oz,Animation,1982,6.8,352.0,Fumihiko Takayama,Aileen Quinn
Heidi's Song,Animation,1982,6.3,256.0,Robert Taylor,Lorne Greene
Love Child,Crime,1982,5.7,253.0,Larry Peerce,Amy Madigan
Boardinghouse,Comedy,1982,3.8,651.0,John Wintergate,John Wintergate
Experience Preferred... But Not Essential,Drama,1982,7.0,240.0,Peter Duffell,Elizabeth Edmonds
The Personals,Comedy,1982,6.7,75.0,Peter Markle,Bill Schoppert
Lonely Hearts,Comedy,1982,6.8,336.0,Paul Cox,Wendy Hughes
Scarface,Crime,1983,8.3,766000.0,Brian De Palma,Al Pacino
The Outsiders,Crime,1983,7.1,78000.0,Francis Ford Coppola,C. Thomas Howell
Star Wars: Episode VI - Return of the Jedi,Action,1983,8.3,973000.0,Richard Marquand,Mark Hamill
Risky Business,Comedy,1983,6.8,83000.0,Paul Brickman,Tom Cruise
National Lampoon's Vacation,Adventure,1983,7.4,100000.0,Harold Ramis,Chevy Chase
Trading Places,Comedy,1983,7.5,141000.0,John Landis,Eddie Murphy
